"","spotify_id","spotify_uri","album","name","popularity","release_date","track_number","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"1390","0KIkfZghiSp7l2Nfwz3zGN","spotify:track:0KIkfZghiSp7l2Nfwz3zGN","Kill 'Em All (Deluxe Remaster)","(Anesthesia) – Pulling Teeth (Rough Mix)",17,"1983-07-25",3,0.0865,0.952,0,-7.012,1,0.194,0.00262,0.846,0.288,0.281,194.295,268623,4
"1391","36uWGkkoDh7Bx0CaBxCJ8S","spotify:track:36uWGkkoDh7Bx0CaBxCJ8S","Kill 'Em All (Deluxe Remaster)","Seek & Destroy (Rough Mix)",21,"1983-07-25",4,0.416,0.897,9,-7.446,1,0.133,0.000813,0.138,0.0965,0.454,140.393,416531,4
"1392","1bQdI9DsAyRoETENnloUfu","spotify:track:1bQdI9DsAyRoETENnloUfu","Kill 'Em All (Deluxe Remaster)","Phantom Lord (Rough Mix)",15,"1983-07-25",5,0.209,0.959,2,-7.589,1,0.364,0.000503,0.0925,0.147,0.0702,155.976,304257,4
"1393","2qquLBzn2K0XVW1bXGUrKC","spotify:track:2qquLBzn2K0XVW1bXGUrKC","Kill 'Em All (Deluxe Remaster)","Whiplash (Rough Mix)",17,"1983-07-25",6,0.385,0.955,4,-7.087,0,0.138,0.000122,0.472,0.0589,0.166,157.861,255155,4
"1394","2VbUmqvB71PIRGbYBM4L8x","spotify:track:2VbUmqvB71PIRGbYBM4L8x","Kill 'Em All (Deluxe Remaster)","The Four Horsemen (Rough Mix)",14,"1983-07-25",7,0.329,0.672,4,-14.365,0,0.0731,0.248,0.874,0.332,0.486,102.636,432377,4
"1395","1o6kuN7DQYhRYIDHw1ndR3","spotify:track:1o6kuN7DQYhRYIDHw1ndR3","Kill 'Em All (Deluxe Remaster)","Seek & Destroy (“Not Live” From The Automatt)",15,"1983-07-25",8,0.397,0.955,9,-7.016,1,0.0605,0.00152,0.362,0.14,0.44,140.548,419934,4
"1396","1x9t1BgXLeqZfgulmIFqYZ","spotify:track:1x9t1BgXLeqZfgulmIFqYZ","Kill 'Em All (Deluxe Remaster)","Phantom Lord (“Not Live” From The Automatt)",13,"1983-07-25",9,0.193,0.975,11,-7.342,0,0.0838,0.00043,0.06,0.0368,0.0887,160.556,289542,4
"1397","5ZfkaNTcZgraTmHEszQZOq","spotify:track:5ZfkaNTcZgraTmHEszQZOq","Kill 'Em All (Deluxe Remaster)","Whiplash (Remastered) (Special Neckbrace Remix)",20,"1983-07-25",10,0.323,0.937,11,-7.265,0,0.107,1.91e-05,0.879,0.184,0.41,156.963,250632,4
"1398","7FVQsitrDmuFHmzjNLYLKw","spotify:track:7FVQsitrDmuFHmzjNLYLKw","Kill 'Em All (Deluxe Remaster)","Seek & Destroy (“Live” At The Automatt)",16,"1983-07-25",11,0.394,0.92,9,-6.3,1,0.0545,0.00542,0.588,0.884,0.647,139.53,423003,4
"1399","47jnei1oGbhIoW8q7t6P7x","spotify:track:47jnei1oGbhIoW8q7t6P7x","Kill 'Em All (Deluxe Remaster)","Phantom Lord (“Live” At The Automatt)",13,"1983-07-25",12,0.293,0.977,9,-5.255,1,0.0969,0.000627,0.708,0.904,0.322,79.075,293983,4
"1400","4kG1ykbUTdx6TeAA6G3HxE","spotify:track:4kG1ykbUTdx6TeAA6G3HxE","Kill 'Em All (Deluxe Remaster)","The Four Horsemen (Live at J Bees Rock III, Middletown, NY – January 20th, 1984)",12,"1983-07-25",1,0.249,0.906,9,-8.761,0,0.0934,0.000541,0.17,0.643,0.299,104.565,346079,4
"1401","6CCKh4PyRYhp3damUZOs1b","spotify:track:6CCKh4PyRYhp3damUZOs1b","Kill 'Em All (Deluxe Remaster)","Jump In The Fire (Live at J Bees Rock III, Middletown, NY – January 20th, 1984)",12,"1983-07-25",2,0.292,0.87,0,-9.197,1,0.0827,0.0025,0.0547,0.386,0.328,94.358,313948,4
"1402","4gcn3yEzFIH0jebcOYcV5E","spotify:track:4gcn3yEzFIH0jebcOYcV5E","Kill 'Em All (Deluxe Remaster)","Fight Fire With Fire (Live at J Bees Rock III, Middletown, NY – January 20th, 1984)",12,"1983-07-25",3,0.162,0.902,0,-9.811,1,0.17,0.000986,0.43,0.685,0.0876,170.592,332400,4
"1403","0oe5jYFVKSEadgioE9ruWn","spotify:track:0oe5jYFVKSEadgioE9ruWn","Kill 'Em All (Deluxe Remaster)","Ride The Lightning (Live at J Bees Rock III, Middletown, NY – January 20th, 1984)",12,"1983-07-25",4,0.224,0.853,9,-8.984,0,0.0971,0.00394,0.0948,0.711,0.336,151.254,433645,4
"1404","0YSd8SbjxO44RCj3LHvXJY","spotify:track:0YSd8SbjxO44RCj3LHvXJY","Kill 'Em All (Deluxe Remaster)","Phantom Lord (Live at J Bees Rock III, Middletown, NY – January 20th, 1984)",11,"1983-07-25",5,0.214,0.883,9,-9.255,0,0.121,0.00181,0.492,0.734,0.206,160.646,321197,4
"1405","22uGwBUggUYDgORTvC6zlD","spotify:track:22uGwBUggUYDgORTvC6zlD","Kill 'Em All (Deluxe Remaster)","Seek & Destroy (Live at J Bees Rock III, Middletown, NY – January 20th, 1984)",12,"1983-07-25",6,0.328,0.835,9,-8.972,0,0.0732,0.0305,0.11,0.704,0.607,151.069,467814,4
"1406","4JQnMFABQDGaSZLh1633YT","spotify:track:4JQnMFABQDGaSZLh1633YT","Kill 'Em All (Deluxe Remaster)","Whiplash (Live at J Bees Rock III, Middletown, NY – January 20th, 1984)",13,"1983-07-25",7,0.192,0.836,11,-10.485,0,0.0925,0.0047,0.173,0.333,0.105,164.133,395467,4
"1407","12dEfb1SW8GVYMihwoJpmT","spotify:track:12dEfb1SW8GVYMihwoJpmT","Kill 'Em All (Deluxe Remaster)","Hit The Lights (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",1,0.219,0.99,10,-6.853,0,0.138,3.35e-05,0.662,0.671,0.101,155.382,265394,4
"1408","0PbCgqBNKbl9SenZNTYZoy","spotify:track:0PbCgqBNKbl9SenZNTYZoy","Kill 'Em All (Deluxe Remaster)","The Four Horsemen (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",2,0.11,0.995,9,-5.19,1,0.14,0.00371,0.535,0.989,0.0391,206.012,449134,4
"1409","1KmK3DlsE0OpfCM5EhU6rx","spotify:track:1KmK3DlsE0OpfCM5EhU6rx","Kill 'Em All (Deluxe Remaster)","Jump In The Fire (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",3,0.147,0.992,0,-6.083,0,0.268,0.00723,0.245,0.782,0.0744,184.058,299686,4
"1410","4ttbsqpCmDODcRocRbor2e","spotify:track:4ttbsqpCmDODcRocRbor2e","Kill 'Em All (Deluxe Remaster)","Fight Fire With Fire (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",4,0.191,0.99,7,-6.589,1,0.32,0.00251,0.746,0.976,0.0348,161.965,336042,4
"1411","6nYeuKxgiKgEbW30eTr7aI","spotify:track:6nYeuKxgiKgEbW30eTr7aI","Kill 'Em All (Deluxe Remaster)","Ride The Lightning (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",5,0.223,0.979,11,-6.238,0,0.297,0.0154,0.22,0.976,0.054,142.655,474544,4
"1412","4ybr4SxxR3gN9O5y9hWSt4","spotify:track:4ybr4SxxR3gN9O5y9hWSt4","Kill 'Em All (Deluxe Remaster)","Phantom Lord (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",11,"1983-07-25",6,0.159,0.994,11,-6.238,0,0.26,0.00128,0.587,0.961,0.0384,154.894,334508,4
"1413","0DKVSRcl7rNqxZxk3DYGU6","spotify:track:0DKVSRcl7rNqxZxk3DYGU6","Kill 'Em All (Deluxe Remaster)","When Hell Freezes Over (The Call of Ktulu) (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",14,"1983-07-25",7,0.246,0.945,2,-6.742,0,0.107,0.0341,0.744,0.983,0.178,143.039,549972,4
"1414","44UrnIpdXghCDU8xQAQJWC","spotify:track:44UrnIpdXghCDU8xQAQJWC","Kill 'Em All (Deluxe Remaster)","Seek & Destroy (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",8,0.298,0.985,2,-5.342,1,0.178,0.00924,0.241,0.913,0.15,141.125,442036,4
"1415","31ff2s4BUKVx0i0EKHM2Gc","spotify:track:31ff2s4BUKVx0i0EKHM2Gc","Kill 'Em All (Deluxe Remaster)","(Anesthesia) – Pulling Teeth (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",14,"1983-07-25",9,0.22,0.877,2,-7.49,1,0.06,0.689,0.84,0.868,0.55,101.343,154796,4
"1416","0LLhHdaXUU5G5tNxy9LWlg","spotify:track:0LLhHdaXUU5G5tNxy9LWlg","Kill 'Em All (Deluxe Remaster)","Whiplash (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",10,0.228,0.989,7,-6.449,1,0.231,0.00159,0.0571,0.888,0.0433,155.843,348487,4
"1417","5dTsNRgorwaCvlQO3JhvAM","spotify:track:5dTsNRgorwaCvlQO3JhvAM","Kill 'Em All (Deluxe Remaster)","Creeping Death (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",14,"1983-07-25",11,0.351,0.995,7,-5.112,1,0.121,0.00151,0.0854,0.96,0.0618,104.609,468036,4
"1418","4pZZpglhAAeBbeUHtszBxr","spotify:track:4pZZpglhAAeBbeUHtszBxr","Kill 'Em All (Deluxe Remaster)","Guitar Solo (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",12,"1983-07-25",12,0.0639,0.889,4,-11.513,0,0.0923,0.851,0.911,0.952,0.0359,73.003,160448,3
"1419","6rxr1fpz3pE7VSHtsE7dTB","spotify:track:6rxr1fpz3pE7VSHtsE7dTB","Kill 'Em All (Deluxe Remaster)","Metal Militia (Live at The Keystone, Palo Alto, CA – October 31st, 1983)",11,"1983-07-25",13,0.167,0.997,2,-5.993,1,0.15,0.000601,0.593,0.946,0.0359,172.249,465573,4
